id,Location,lat-lon,Area,Bed,Bath,Price
461,"Baridhara, Dhaka",,"3,200 sqft",4,4,2.10 Lakh
462,"Block B, Aftab Nagar, Dhaka",,"1,200 sqft",3,2,22 Thousand
463,"Sector 11, Uttara, Dhaka",,900 sqft,2,2,22 Thousand
464,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,23 Thousand
465,"Block H, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,27 Thousand
466,"Section 12, Mirpur, Dhaka",,"1,600 sqft",3,3,20 Thousand
467,"Lalmatia, Dhaka",,"1,580 sqft",3,3,36 Thousand
468,"Block H, Bashundhara R-A, Dhaka",,"2,045 sqft",3,4,1.1 Lakh
469,"Gulshan 2, Gulshan, Dhaka",,"4,200 sqft",4,4,2.55 Lakh
470,"Mohammadi Housing LTD., Mohammadpur, Dhaka",,"1,100 sqft",3,3,17.5 Thousand
471,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,21 Thousand
472,"Block D, Bashundhara R-A, Dhaka",,"2,800 sqft",4,4,53 Thousand
473,"Sector 10, Uttara, Dhaka",,800 sqft,2,2,17 Thousand
474,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,32 Thousand
475,"South Monipur, Mirpur, Dhaka",,"1,150 sqft",3,2,16 Thousand
476,"Block G, Bashundhara R-A, Dhaka",,"1,550 sqft",3,3,22 Thousand
477,"Block F, Bashundhara R-A, Dhaka",,"1,735 sqft",3,3,34 Thousand
478,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,550 sqft",3,3,32 Thousand
479,"Mohammadpur, Dhaka",,"2,700 sqft",3,3,64 Thousand
480,"Malibagh, Dhaka",,700 sqft,2,2,21 Thousand
481,"Baridhara, Dhaka",,"4,200 sqft",4,4,4.10 Lakh
482,"Mohammadia Housing Society, Mohammadpur, Dhaka",,"1,550 sqft",3,3,35 Thousand
483,"Block H, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,27 Thousand
484,"Sector 6, Uttara, Dhaka",,"2,900 sqft",4,4,85 Thousand
485,"Block K, Baridhara, Dhaka",,"2,800 sqft",4,4,1.25 Lakh
486,"Gulshan 2, Gulshan, Dhaka",,"2,350 sqft",3,4,85 Thousand
487,"Baridhara, Dhaka",,"3,200 sqft",4,4,2.10 Lakh
488,"Banani, Dhaka",,"3,000 sqft",4,5,1.25 Lakh
489,"Sector 9, Uttara, Dhaka",,"2,000 sqft",3,3,38 Thousand
490,"Gulshan 1, Gulshan, Dhaka",,"2,800 sqft",3,3,88 Thousand
491,"Sector 3, Uttara, Dhaka",,"1,550 sqft",3,3,31 Thousand
492,"Sector 1, Uttara, Dhaka",,"2,600 sqft",4,4,53 Thousand
493,"Section 10, Mirpur, Dhaka",,650 sqft,2,2,15 Thousand
494,"Sector 14, Uttara, Dhaka",,900 sqft,3,2,22 Thousand
495,"Gulshan 1, Gulshan, Dhaka",,"2,100 sqft",3,3,64 Thousand
496,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",,"1,100 sqft",3,2,18 Thousand
497,"Dhanmondi, Dhaka",,"1,600 sqft",3,4,38 Thousand
498,"Banani, Dhaka",,"2,700 sqft",3,3,1.45 Lakh
